Graph Type,Graph Size,Tower Count,Tower Type,Target Type,Turns,Run Number
Erdos Renyi,500,1,type,type,492,0
Erdos Renyi,500,2,type,type,447,0
Erdos Renyi,500,3,type,type,326,0
Erdos Renyi,500,4,type,type,434,0
Erdos Renyi,500,5,type,type,30,0
Erdos Renyi,500,6,type,type,60,0
Erdos Renyi,500,7,type,type,2,0
Erdos Renyi,500,8,type,type,2,0
Erdos Renyi,500,9,type,type,9,0
Erdos Renyi,500,10,type,type,0,0
Erdos Renyi,500,11,type,type,5,0
Erdos Renyi,500,12,type,type,2,0
Erdos Renyi,500,13,type,type,10,0
Erdos Renyi,500,14,type,type,0,0
Erdos Renyi,500,15,type,type,2,0
Erdos Renyi,500,16,type,type,3,0
Erdos Renyi,500,17,type,type,2,0
Erdos Renyi,500,18,type,type,2,0
Erdos Renyi,500,19,type,type,0,0
Erdos Renyi,500,20,type,type,0,0
Erdos Renyi,500,21,type,type,0,0
Erdos Renyi,500,22,type,type,0,0
Erdos Renyi,500,23,type,type,0,0
Erdos Renyi,500,24,type,type,0,0
Erdos Renyi,500,25,type,type,0,0
Erdos Renyi,500,26,type,type,0,0
Erdos Renyi,500,27,type,type,0,0
Erdos Renyi,500,28,type,type,0,0
Erdos Renyi,500,29,type,type,0,0
Erdos Renyi,500,30,type,type,1,0
Graph Type,Graph Size,Tower Count,Tower Type,Target Type,Turns,Run Number
Erdos Renyi,500,1,type,type,482,1
Erdos Renyi,500,2,type,type,445,1
Erdos Renyi,500,3,type,type,442,1
Erdos Renyi,500,4,type,type,192,1
Erdos Renyi,500,5,type,type,234,1
Erdos Renyi,500,6,type,type,21,1
Erdos Renyi,500,7,type,type,12,1
Erdos Renyi,500,8,type,type,2,1
Erdos Renyi,500,9,type,type,1,1
Erdos Renyi,500,10,type,type,10,1
Erdos Renyi,500,11,type,type,1,1
Erdos Renyi,500,12,type,type,3,1
Erdos Renyi,500,13,type,type,15,1
Erdos Renyi,500,14,type,type,3,1
Erdos Renyi,500,15,type,type,0,1
Erdos Renyi,500,16,type,type,1,1
Erdos Renyi,500,17,type,type,0,1
Erdos Renyi,500,18,type,type,0,1
Erdos Renyi,500,19,type,type,0,1
Erdos Renyi,500,20,type,type,0,1
Erdos Renyi,500,21,type,type,0,1
Erdos Renyi,500,22,type,type,0,1
Erdos Renyi,500,23,type,type,0,1
Erdos Renyi,500,24,type,type,0,1
Erdos Renyi,500,25,type,type,0,1
Erdos Renyi,500,26,type,type,0,1
Erdos Renyi,500,27,type,type,0,1
Erdos Renyi,500,28,type,type,0,1
Erdos Renyi,500,29,type,type,0,1
Erdos Renyi,500,30,type,type,0,1
Graph Type,Graph Size,Tower Count,Tower Type,Target Type,Turns,Run Number
Erdos Renyi,500,1,type,type,465,2
Erdos Renyi,500,2,type,type,482,2
Erdos Renyi,500,3,type,type,189,2
Erdos Renyi,500,4,type,type,112,2
Erdos Renyi,500,5,type,type,11,2
Erdos Renyi,500,6,type,type,6,2
Erdos Renyi,500,7,type,type,138,2
Erdos Renyi,500,8,type,type,11,2
Erdos Renyi,500,9,type,type,8,2
Erdos Renyi,500,10,type,type,0,2
Erdos Renyi,500,11,type,type,0,2
Erdos Renyi,500,12,type,type,0,2
Erdos Renyi,500,13,type,type,3,2
Erdos Renyi,500,14,type,type,1,2
Erdos Renyi,500,15,type,type,1,2
Erdos Renyi,500,16,type,type,3,2
Erdos Renyi,500,17,type,type,0,2
Erdos Renyi,500,18,type,type,1,2
Erdos Renyi,500,19,type,type,1,2
Erdos Renyi,500,20,type,type,0,2
Erdos Renyi,500,21,type,type,0,2
Erdos Renyi,500,22,type,type,1,2
Erdos Renyi,500,23,type,type,0,2
Erdos Renyi,500,24,type,type,0,2
Erdos Renyi,500,25,type,type,0,2
Erdos Renyi,500,26,type,type,0,2
Erdos Renyi,500,27,type,type,0,2
Erdos Renyi,500,28,type,type,0,2
Erdos Renyi,500,29,type,type,0,2
Erdos Renyi,500,30,type,type,0,2
Graph Type,Graph Size,Tower Count,Tower Type,Target Type,Turns,Run Number
Erdos Renyi,500,1,type,type,458,3
Erdos Renyi,500,2,type,type,474,3
Erdos Renyi,500,3,type,type,392,3
Erdos Renyi,500,4,type,type,246,3
Erdos Renyi,500,5,type,type,17,3
Erdos Renyi,500,6,type,type,21,3
Erdos Renyi,500,7,type,type,36,3
Erdos Renyi,500,8,type,type,5,3
Erdos Renyi,500,9,type,type,7,3
Erdos Renyi,500,10,type,type,9,3
Erdos Renyi,500,11,type,type,10,3
Erdos Renyi,500,12,type,type,2,3
Erdos Renyi,500,13,type,type,0,3
